"aadt_year","station_id","county","signing","state_route","county_road","road_name","beginning_description","ending_description","municipality","length","fc","ramp","bridge","rr_xing","oneway","count"
"2019","10001","Bronx","Interstate","95",,"Alexander Hamil","NY/Bronx Co Line","I-87 MAJ DEEGAN EXP UNDER","Bronx","7","11",,"Y",,,"81839"
"2019","10002","Bronx","Interstate","95",,"Cross Bronx Exp","I-87 MAJ DEEGAN EXP UNDER","MACOMBS RD OVER","Bronx","51","11",,"Y",,,"92512"
"2019","10003","Bronx","Interstate","95",,"Cross Bronx Exp","MACOMBS RD OVER","END I-95/US1 OLAP WEBSTER AV","Bronx","63","11",,,,,"140871"
"2019","10004","Bronx","US","1",,"WEBSTER AVE","END I-95/US1 OLAP WEBSTER AV","E FORDHAM RD","Bronx","151","14",,,,,"15198"
"2019","10005","Bronx","US","1",,"E FORDHAM RD","E FORDHAM RD","RT 907H BRONX RIVER PKWY SOU","Bronx","112","14",,"Y",,,"32254"
"2019","10006","Bronx","US","1",,"E FORDHAM RD","RT 907H BRONX RIVER PKWY SOU","RT 907F PELHAM PKWY BOSTON P","Bronx","19","14",,,,,"45433"
"2019","10007","Bronx","US","1",,"BOSTON RD","RT 907F PELHAM PKWY BOSTON P","GUN HILL RD","Bronx","140","14",,,,,"14109"
"2019","10008","Bronx","US","1",,"BOSTON RD","GUN HILL RD","RT 22 PROVOST AVE","Bronx","164","14",,,,,"20105"
"2019","10009","Bronx","US","1",,"BOSTON RD","RT 22 PROVOST AVE","Bronx/West Co Line","Bronx","51","14",,"Y",,,"21014"
"2019","10010","Bronx","US","9",,"BROADWAY","NY/Bronx Co Line","VAN CORTLAND SOUTH","Bronx","82","14",,,,,"14152"
"2019","10011","Bronx","US","9",,"BROADWAY","VAN CORTLAND SOUTH","START 9/9A OLAP H.H. PKY","Bronx","94","14",,,,,"15124"
"2019","10012","Bronx","US","9",,"BROADWAY","START 9/9A OLAP H.H. PKY","Bronx/West Co Line","Bronx","80","14",,,,,"11614"
"2019","10014","Bronx","NY","9A",,"HENRY HUDSON PK","NY/Bronx Co Line","RIVERDALE AVE OVER","Bronx","104","12",,"Y",,,"63906"
"2019","10015","Bronx","Interstate","695",,"THROGS NECK EXP","I-295","ACC I-95","Bronx","173","11",,"Y",,,"53409"
"2019","10016","Bronx","NY","9A",,"HENRY HUDSON PK","RIVERDALE AVE OVER","END 9A/907V OLAP & RT 9 OVER","Bronx","129","12",,"Y",,,"80793"
"2019","10017","Bronx","Interstate","87",,"Major Deegan Ex","I87 NB (ON)","ST ANNS AVE","Bronx","3","11",,"Y",,,"124544"
"2019","10018","Bronx","NY","22",,"PROVOST AVE","RT 1","EAST 233RD ST","Bronx","19","14",,,,,"13096"
"2019","10019","Bronx","NY","22",,"PROVOST AVE","EAST 233RD ST","Bronx/West Co Line","Bronx","17","14",,,,,"9768"
"2019","10020","Bronx","Interstate","87",,"Major Deegan Ex","ST ANNS AVE","ACC WILLIS AVE","Bronx","32","11",,"Y",,,"98030"
"2019","10021","Bronx","Interstate","87",,"Major Deegan Ex","ACC WILLIS AVE","ACC EAST 138TH ST","Bronx","44","11",,"Y",,,"110800"
"2019","10023","Bronx","Interstate","87",,"Major Deegan Ex","ACC EAST 138TH ST","ACC MACOMBS DAM BRIDGE","Bronx","126","11",,"Y",,,"118845"
"2019","10024","Bronx","Interstate","87",,"Major Deegan Ex","ACC MACOMBS DAM BRIDGE","ACC 95I CROSS BRNX EPY","Bronx","96","11",,,,,"143526"
"2019","10025","Bronx","Interstate","87",,"Major Deegan Ex","ACC 95I CROSS BRNX EPY","ACC W FORDHAM RD","Bronx","136","11",,,,,"137395"
"2019","10026","Bronx","Interstate","87",,"Major Deegan Ex","ACC W FORDHAM RD","ACC WEST 230TH ST","Bronx","116","11",,,,,"157709"
"2019","10027","Bronx","Interstate","87",,"Major Deegan Ex","ACC HENRY HUDSON PKWY","ACC EAST 233 ST","Bronx","32","11",,"Y",,,"160954"
