"segmentid","street","direction","count_mm"
"44","MOON AVENUE","NB","1944"
"44","MOON AVENUE","SB","864"
"56","NICHOLS COURT","SB","864"
"138","BILLOP AVENUE","NB","1296"
"1416","BLOOMINGDALE ROAD","NB","864"
"1416","BLOOMINGDALE ROAD","SB","864"
"1882","RAMONA AVENUE","EB","380"
"1883","FOSTER ROAD","NB","864"
"1883","FOSTER ROAD","SB","1246"
"1885","FOSTER ROAD","NB","105"
"1902","RAMONA AVENUE","WB","381"
"2367","ARTHUR KILL ROAD","EB","864"
"2367","ARTHUR KILL ROAD","WB","864"
"2369","ARTHUR KILL ROAD","EB","864"
"2369","ARTHUR KILL ROAD","WB","864"
"2760","WOODROW ROAD","EB","864"
"2760","WOODROW ROAD","WB","864"
"2906","HYLAN BOULEVARD","EB","1344"
"2906","HYLAN BOULEVARD","WB","1344"
"2933","AMBOY ROAD","EB","864"
"2933","AMBOY ROAD","WB","864"
"2984","DRUMGOOLE ROAD WEST","SB","864"
"3017","ARDEN AVENUE","NB","864"
"3017","ARDEN AVENUE","SB","864"
"3061","ALBEE AVENUE","NB","24"
"3061","ALBEE AVENUE","SB","24"
"3720","AMBOY ROAD","EB","864"
"3720","AMBOY ROAD","WB","864"
"3805","HYLAN BOULEVARD","EB","1344"
"3805","HYLAN BOULEVARD","WB","1344"
"4237","ANNADALE ROAD","NB","864"
"4237","ANNADALE ROAD","SB","864"
"4297","BARLOW AVENUE","EB","864"
"4297","BARLOW AVENUE","WB","864"
"4329","ARTHUR KILL ROAD","EB","672"
"4340","ARTHUR KILL ROAD","EB","864"
"4340","ARTHUR KILL ROAD","WB","864"
"4396","RICHMOND AVENUE","NB","672"
"4405","ARTHUR KILL ROAD","WB","672"
"4406","GETZ AVENUE","NB","672"
"4437","RIDGEWOOD AVENUE","NB","375"
"4451","SWEETBROOK ROAD","EB","376"
"4454","RIDGEWOOD AVENUE","SB","376"
"4456","LEVERETT AVENUE","WB","375"
"4471","ARTHUR KILL ROAD","EB","672"
"4471","ARTHUR KILL ROAD","WB","672"
"4477","CORTELYOU AVENUE","NB","672"
"4544","ARMSTRONG AVENUE","NB","672"
"4546","ARTHUR KILL ROAD","WB","672"
"4832","VICTORY BOULEVARD","EB","864"
"4832","VICTORY BOULEVARD","WB","864"
"4876","VICTORY BOULEVARD","EB","380"
"5276","VICTORY BOULEVARD","EB","385"
"5276","VICTORY BOULEVARD","WB","379"
"5278","SPEEDWELL AVENUE","SB","383"
"5286","VICTORY BOULEVARD","WB","386"
