"requestid","boro","yr","m","d","hh","mm","vol","segmentid","wktgeom","street","fromst","tost","direction"
"17976","Queens","2015","2","7","10","30","28","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","10","45","46","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","11","0","40","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","11","0","105","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","11","15","33","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","11","15","80","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","11","30","87","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","11","30","36","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","11","45","44","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","11","45","97","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","12","0","43","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","12","0","105","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","12","15","111","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","12","15","48","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","12","30","86","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","12","30","39","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","12","45","37","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","12","45","94","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","13","0","35","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","13","0","115","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","13","15","107","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","13","15","38","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","13","30","118","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","13","30","32","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","13","45","23","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","13","45","128","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","14","0","36","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","14","0","132","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","14","15","42","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","14","15","111","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","14","30","99","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","14","30","46","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","14","45","56","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","14","45","123","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","15","0","109","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","15","0","44","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","15","15","50","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","15","15","141","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","15","30","166","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","15","30","49","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","15","45","46","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","15","45","163","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","16","0","176","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","16","0","42","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","16","15","194","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","16","15","41","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","16","30","33","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","16","30","204","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","16","45","30","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","16","45","146","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","17","0","37","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","17","0","119","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","17","15","36","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","17","15","121","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","17","30","127","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","17","30","32","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","17","45","31","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","17","45","124","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","18","0","94","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","18","0","32","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
